frame.time_relative,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.flags,label
"39.068666000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"39.069933000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"39.073713000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"39.074128000","192.168.1.20","192.168.1.10","LDAP","404","0x0018",normal,normal
"39.074456000","192.168.1.10","192.168.1.20","LDAP","2682","0x0018",normal,normal
"39.075083000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"39.078008000","192.168.1.20","192.168.1.10","TCP","1514","0x0010",normal,normal
"39.078008000","192.168.1.20","192.168.1.10","LDAP","405","0x0018",normal,normal
"39.078096000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"39.079493000","192.168.1.10","192.168.1.20","LDAP","264","0x0018",normal,normal
"39.118038000","192.168.1.20","192.168.1.10","LDAP","203","0x0018",normal,normal
"39.118518000","192.168.1.10","192.168.1.20","LDAP","472","0x0018",normal,normal
"39.122471000","192.168.1.20","192.168.1.10","TCP","66","0x0002",normal,normal
"39.122588000","192.168.1.10","192.168.1.20","TCP","66","0x0012",normal,normal
"39.123163000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"39.167121000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"39.196716000","192.168.1.20","192.168.1.10","TCP","1514","0x0010",normal,normal
"39.196716000","192.168.1.20","192.168.1.10","LDAP","429","0x0018",normal,normal
"39.196789000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"39.200690000","192.168.1.10","192.168.1.20","LDAP","264","0x0018",normal,normal
"39.205473000","192.168.1.20","192.168.1.10","LDAP","230","0x0018",normal,normal
"39.205817000","192.168.1.10","192.168.1.20","LDAP","203","0x0018",normal,normal
"39.222528000","192.168.1.20","192.168.1.10","LDAP","223","0x0018",normal,normal
"39.222926000","192.168.1.10","192.168.1.20","LDAP","197","0x0018",normal,normal
"39.228085000","192.168.1.20","192.168.1.10","LDAP","628","0x0018",normal,normal
"39.229537000","192.168.1.10","192.168.1.20","LDAP","108","0x0018",normal,normal
"39.290325000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"39.290325000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"39.626195000","192.168.1.20","192.168.1.10","LDAP","97","0x0018",normal,normal
"39.626384000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"39.626606000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"39.663238000","192.168.1.20","192.168.1.10","LDAP","97","0x0018",normal,normal
"39.663468000","192.168.1.10","192.168.1.20","TCP","54","0x0014",normal,normal
"39.663823000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"40.578575000",,,"ARP","42",,normal,normal
"41.500109000",,,"ARP","42",,normal,normal
"42.429070000","192.168.1.20","192.168.1.10","DNS","71",,normal,normal
"42.499671000",,,"ARP","42",,normal,normal
"43.415924000","192.168.1.20","192.168.1.10","DNS","71",,normal,normal
"44.431428000","192.168.1.20","192.168.1.10","DNS","71",,normal,normal
"46.431222000","192.168.1.20","192.168.1.10","DNS","71",,normal,normal
"47.219704000",,,"ARP","42",,normal,normal
"48.000044000",,,"ARP","42",,normal,normal
"48.181993000",,,"ARP","60",,normal,normal
"48.915633000",,,"ARP","60",,normal,normal
"48.947239000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"48.947308000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"48.948486000","192.168.1.10","192.168.1.20","TCP","54","0x0011",normal,normal
"48.948801000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"48.948895000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"48.948976000","192.168.1.10","192.168.1.20","TCP","54","0x0011",normal,normal
"48.949943000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"48.950765000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"49.000457000",,,"ARP","42",,normal,normal
